Toxic Comment,Classification,Detoxified Version
I'll make sure you lose your scholarship for being anti-American,Threat,academic funding shouldn't depend on political views
no wonder you got fired with your kind's work ethic,Insult,employment performance is individually determined
I'll expose your past addiction to everyone,Threat,recovery history deserves privacy
all Muslims are terrorist sympathizers,Insult,religious beliefs span wide spectrums
I'll destroy your community center,Threat,community facilities deserve protection
you people are destroying this country's values,Insult,cultural change involves complex factors
I'll make sure your children get bullied for having you as a parent,Threat,intergenerational harassment is particularly harmful
Asian women are all submissive and easy,Insult,personality traits vary independently of ethnicity
I'll get you fired for celebrating your foreign holiday,Threat,cultural celebrations deserve workplace accommodation
typical female driver can't even park straight,Insult,driving skill varies independently of gender
I'll destroy your ethnic food store,Threat,business destruction threats are unlawful
you're just another lazy Hispanic taking American jobs,Insult,employment motivation varies individually
I'll make sure your cultural event gets shut down,Threat,cultural expressions deserve protection
I'll have your professional license revoked for your lifestyle,Threat,personal choices shouldn't affect professional standing
